PROVINCE,DISTRICT,POPULATION,2020 14,2020 15,2020 16,2020 17,2020 18,2020 19,2020 20,2020 21,2020 22,2020 23,2020 24,2020 25,2020 26,2020 27,2020 28,2020 29,2020 30,2020 31,2020 32,2020 33,2020 34,2020 35,2020 36,2020 37,2020 38,2020 39,2020 40,2020 41,2020 42,2020 43,2020 44,2020 45,2020 46,2020 47,2020 48,2020 49,2020 50,2020 51,2020 52,2020 53,2020 Total ,2021 1,2021 2,2021 3,2021 4,2021 5,2021 6,2021 7,2021 8,2021 9,2021 10,2021 11,2021 12,2021 13,2021 14,2021 15,2021 16,2021 17,2021 18,2021 19,2021 20,2021 21,2021 22,2021 23,2021 24,2021 25,2021 26,2021 27,2021 28,2021 29,2021 30,2021 31,2021 32,2021 33,2021 34,2021 35,2021 36,2021 37,2021 38,2021 39,2021 40,2021 41,2021 42,2021 43,2021 44,2021 45,2021 46,2021 47,2021 48,2021 49,2021 50,2021 51,2021 52,2021 53,2021 Total ,2022 1,2022 2,2022 3,2022 4,2022 5,2022 6,2022 7,2022 8,2022 9,2022 10,2022 11,2022 12,2022 13,2022 14,2022 15,2022 16,2022 17,2022 18,2022 19,2022 20,2022 21,2022 22,2022 23,2022 24,2022 25,2022 26,2022 27,2022 28,2022 29,2022 30,2022 31,2022 32,2022 33,2022 34,2022 35,2022 36,2022 37,2022 38,2022 39,2022 40,2022 41,2022 42,2022 43,2022 44,2022 45,2022 46,2022 47,2022 48,2022 49,2022 50,2022 51,2022 52,2022 Total ,Grand Total 
CABO_DELGADO,ANCUABE,"159,340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,5,24,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,62,10,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,89
CABO_DELGADO,BALAMA,"175,733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,18,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,19,8,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,106,70,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,114,220
CABO_DELGADO,CHIURE,"299,235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,6,3,0,0,15,0,3,13,12,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,20,19,23,8,23,12,3,7,9,16,3,10,2,13,4,5,2,2,2,124,0,370,154,65,26,25,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,351,724
CABO_DELGADO,IBO,"12,205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,35,0,41,51,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,69,112
CABO_DELGADO,MACOMIA,"114,345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CABO_DELGADO,MECUFI,"61,531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,2,0,6,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,3,0,0,6,23,4,10,5,6,7,7,0,1,2,0,0,0,0,4,2,16,0,137,32,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,25,2,0,0,3,0,2,0,7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,102,242
CABO_DELGADO,MELUCO,"36,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,3,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,61,0,0,1,0,0,0,0,0,2,1,1,0,0,0,4,9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,90
CABO_DELGADO,METUGE,"86,866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,2,1,2,0,4,0,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,10,32,19,15,7,19,5,0,0,1,1,0,0,0,1,1,0,0,53,0,212,50,12,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,98,314
CABO_DELGADO,MONTEPUEZ,"272,069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,20,81,28,8,0,0,0,0,0,0,0,142,6,0,7,0,17,6,11,15,2,2,6,0,0,0,1,3,4,1,0,0,0,0,0,1,3,0,0,0,8,16,0,8,22,11,11,2,0,0,1,2,2,0,0,0,1,0,0,0,0,3,18,88,0,278,61,39,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,146,566
CABO_DELGADO,MUEDA,"170,347",0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,8,0,13,0,0,0,0,0,0,0,0,5,4,0,0,3,2,0,0,0,0,0,0,0,0,57,0,0,1,0,4,0,10,35,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,4,1,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,13,29,0,159,33,32,8,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,303
CABO_DELGADO,NAMUNO,"245,248",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,0,4,2,4,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,25,9,5,20,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,120,52,43,5,7,2,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,248
CABO_DELGADO,NANGADE,"89,714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,6,67,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,152,2,15,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,179
CABO_DELGADO,PALMA,"67,025",0,0,0,0,0,0,0,9,10,10,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,45,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
CABO_DELGADO,PEMBA,"200,529",0,0,4,0,0,0,0,5,34,10,29,39,20,14,13,27,40,21,6,0,0,0,33,32,40,15,5,6,23,10,9,14,7,15,21,7,10,15,18,13,555,70,109,43,57,226,386,387,186,210,30,40,6,2,4,10,2,2,0,0,1,1,3,4,11,5,2,15,16,10,15,19,47,94,99,184,108,76,61,24,25,11,8,7,11,3,0,0,8,8,16,177,795,0,3634,247,49,35,11,11,6,1,6,3,0,1,0,0,6,2,0,0,1,19,9,7,3,13,21,15,19,11,11,5,3,1,2,6,4,0,0,4,4,24,0,3,0,0,2,1,1,2,41,16,10,5,118,759,4948
CABO_DELGADO,QUISSANGA,"50,259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GAZA,BILENE,"140,972",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,9,8,0,2,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,31,0,6,34,37,32,21,56,12,1,2,2,3,0,0,2,0,0,0,0,0,0,0,0,4,0,6,43,102,1,112,48,37,22,4,6,0,0,0,1,0,2,0,0,0,1,0,0,1,15,152,179,124,0,1068,126,37,6,4,4,1,3,0,0,1,0,0,0,0,3,2,2,0,0,0,0,1,14,7,0,42,38,9,13,10,1,2,2,1,3,1,0,4,0,0,4,0,0,0,1,2,1,0,0,0,2,55,402,1501
