method,avg_kl_up_to_last_epi_day,avg_w2_up_to_last_epi_day,rt_rmse_up_to_last_epi_day,example
adaptive inflation,84085.0,100185.0,98225.0,max
fixed inflation,100185.0,96712.0,100184.0,max
no inflation,89158.0,81071.0,99368.0,max
smooth inflation,98225.0,98225.0,98225.0,max
epiestim,97443.0,97443.0,91703.0,max
adaptive inflation,47047.0,47047.0,190.0,min
fixed inflation,44331.0,62143.0,1321.0,min
no inflation,22090.0,62144.0,2.0,min
smooth inflation,52218.0,52218.0,53.0,min
epiestim,3457.0,40183.0,3497.0,min
adaptive inflation,8499.0,40215.0,45181.0,mean
fixed inflation,31883.0,25010.0,84260.0,mean
no inflation,58063.0,54389.0,43912.0,mean
smooth inflation,47735.0,10532.0,89106.0,mean
epiestim,45028.0,46714.0,15658.0,mean
