param,last_epi_day
73347,256
88316,248
13462,287
86220,267
24054,233
11063,285
89418,251
71900,226
22867,240
48201,262
14653,260
62673,259
12197,262
24133,250
94131,232
59655,223
37910,299
43005,261
81382,235
73292,239
91699,228
77413,244
88322,242
31188,251
19421,257
17068,262
68200,266
49446,262
40310,262
62665,262
99467,254
41887,295
45593,253
16967,251
41665,255
54585,237
73405,267
12236,266
22815,227
25350,252
86150,260
12268,261
8629,283
21713,241
32260,228
45669,273
81387,235
65887,290
65795,257
83902,255
62120,327
59699,234
90508,240
68233,278
51980,238
68171,252
69384,253
13392,255
12282,283
18191,262
74605,235
86217,257
45637,272
65899,290
64677,249
1439,336
62131,326
53304,233
62815,320
78775,240
73383,249
74627,228
75932,221
39022,293
27551,230
86173,261
27647,244
12169,259
70620,227
97545,251
37847,300
74694,252
14677,263
4949,295
74508,218
63780,293
26440,245
74601,227
75976,223
58476,256
73233,232
65776,252
68227,260
69374,235
82760,226
57020,217
25264,238
95408,216
17030,255
31126,241
78617,214
6186,304
73289,248
57148,242
58588,259
65912,286
69472,261
62844,336
29840,219
28726,231
94144,217
63679,297
49479,252
1466,343
63655,257
27552,231
80086,238
49636,277
75888,215
18042,239
46885,250
97653,284
68166,248
65803,258
50734,249
92923,224
48208,262
20612,259
71911,226
19330,240
21705,241
60940,224
29930,235
3775,311
71822,218
26399,227
12250,283
85153,253
21656,248
28684,226
90594,272
31009,224
95391,215
34437,312
28788,247
74735,257
71922,234
71947,248
37902,287
82679,209
43032,296
50816,264
11068,285
21769,247
94169,215
86154,260
64736,275
55897,245
9757,270
2561,329
81399,234
85224,284
40368,257
76029,247
73332,248
65828,264
85193,254
94166,228
3800,311
87169,241
85225,270
68202,255
68129,246
77363,250
84225,237
82651,216
13458,283
91722,238
37867,289
73171,215
71881,232
97618,255
78650,220
31166,245
2507,301
92991,238
2447,287
12175,262
64808,285
82764,232
64750,264
94165,240
77387,248
1376,346
63767,293
84395,271
59882,271
62752,292
1455,336
8614,292
94136,220
5020,320
69401,243
77263,229
5012,320
82634,206
27583,233
88305,244
90598,262
77467,247
16911,248
21685,241
80018,233
87196,256
63645,290
16914,249
31331,260
57119,234
19337,243
77285,220
78725,241
21827,264
3670,295
81246,205
63741,292
44339,260
97609,267
97638,307
27621,243
18220,256
62758,298
71962,243
68206,268
37875,288
27637,242
73329,244
53323,244
45613,269
15774,248
31103,236
25227,232
97608,283
12270,275
32503,263
14623,262
50745,254
35555,341
50727,245
91724,218
18336,292
29858,227
78593,215
65767,251
64753,268
21709,239
86157,260
29996,243
66989,271
95422,216
25297,246
55868,236
74545,210
5280,345
65772,250
78585,214
90522,227
82696,215
25258,244
23945,222
8639,283
20500,242
54588,239
80118,245
26431,239
32189,238
29928,233
64724,263
23997,234
59818,245
24077,239
91674,227
41717,255
74541,221
8523,265
22883,243
26492,248
73150,220
7449,279
28756,235
40418,265
69345,254
18132,240
14635,276
53321,246
59672,232
20608,257
68244,278
1403,350
76031,240
68293,279
1456,336
88293,288
10995,260
3702,294
17074,283
52067,248
1442,324
49365,240
74704,246
3695,294
74581,223
28840,245
73360,250
48081,251
15851,257
91785,247
62807,314
48119,244
63804,306
32249,228
29924,231
80087,241
77292,231
73314,247
70658,248
69339,231
80096,233
22853,237
92929,224
46959,269
14681,276
11069,285
49473,244
13464,287
64702,252
75952,239
15801,251
14651,276
30006,243
68221,255
94191,228
25250,244
14478,240
65969,278
46884,250
79948,210
78708,234
62656,263
52017,238
3770,304
58461,242
48189,249
74539,216
43064,280
90572,250
76017,242
28829,242
12176,255
43168,306
65850,279
72033,256
74547,221
2455,292
26382,233
83896,277
44458,317
12256,283
3693,323
77384,236
24081,245
3704,303
83892,262
57323,265
48065,233
87208,248
62704,268
69377,225
81300,206
14615,257
55856,232
3644,280
27549,231
82600,204
58431,236
78647,221
55838,234
86219,263
21697,244
5136,347
9821,277
12255,283
10972,274
79887,204
39053,277
22887,245
62129,327
28779,243
78568,212
95437,218
15720,248
1423,336
81401,229
32337,243
4903,289
10973,265
8649,281
11056,285
59587,218
82774,237
53442,255
40376,262
62125,327
70676,246
9798,266
8574,270
