param,rt_0,rt_1,midpoint,k,n_t,t_I,N,S0,I0
46482,1.4000000000000004,3.9000000000000026,109,0.4,365,4,100000,99900,100
55685,1.4000000000000004,4.600000000000003,138,0.5,365,4,100000,99900,100
69090,1.5000000000000004,4.000000000000003,97,0.7000000000000001,365,4,100000,99900,100
85010,1.6000000000000003,4.100000000000003,95,0.5,365,4,100000,99900,100
73071,1.5000000000000004,4.3000000000000025,112,0.3,365,4,100000,99900,100
49361,1.4000000000000004,4.100000000000003,147,0.6,365,4,100000,99900,100
73347,1.5000000000000004,4.3000000000000025,146,0.7000000000000001,365,4,100000,99900,100
8608,1.3000000000000005,3.0000000000000018,174,0.1,365,4,100000,99900,100
16738,1.3000000000000005,3.7000000000000015,142,0.2,365,4,100000,99900,100
7217,1.3000000000000005,2.9000000000000017,151,0.2,365,4,100000,99900,100
88316,1.6000000000000003,4.400000000000003,123,0.8,365,4,100000,99900,100
9589,1.3000000000000005,3.100000000000002,145,0.6,365,4,100000,99900,100
13462,1.3000000000000005,3.400000000000002,179,0.5,365,4,100000,99900,100
86220,1.6000000000000003,4.200000000000003,124,0.6,365,4,100000,99900,100
24054,1.3000000000000005,4.3000000000000025,171,0.8,365,4,100000,99900,100
11063,1.3000000000000005,3.200000000000002,179,0.7000000000000001,365,4,100000,99900,100
32062,1.3000000000000005,5.000000000000004,150,0.8,365,4,100000,99900,100
89418,1.6000000000000003,4.500000000000004,123,0.5,365,4,100000,99900,100
627,1.3000000000000005,2.300000000000001,170,0.2,365,4,100000,99900,100
78582,1.5000000000000004,4.700000000000003,128,0.2,365,4,100000,99900,100
62535,1.5000000000000004,3.400000000000002,108,0.4,365,4,100000,99900,100
86026,1.6000000000000003,4.200000000000003,100,0.4,365,4,100000,99900,100
79798,1.5000000000000004,4.800000000000003,112,0.1,365,4,100000,99900,100
46789,1.4000000000000004,3.9000000000000026,147,0.7000000000000001,365,4,100000,99900,100
12136,1.3000000000000005,3.300000000000002,163,0.6,365,4,100000,99900,100
47819,1.4000000000000004,4.000000000000003,115,0.4,365,4,100000,99900,100
55445,1.4000000000000004,4.600000000000003,108,0.5,365,4,100000,99900,100
30540,1.3000000000000005,4.900000000000004,105,0.4,365,4,100000,99900,100
71900,1.5000000000000004,4.200000000000003,130,0.8,365,4,100000,99900,100
76979,1.5000000000000004,4.600000000000003,96,0.1,365,4,100000,99900,100
22867,1.3000000000000005,4.200000000000003,170,0.4,365,4,100000,99900,100
42457,1.4000000000000004,3.6000000000000023,89,0.7000000000000001,365,4,100000,99900,100
48201,1.4000000000000004,4.000000000000003,163,0.2,365,4,100000,99900,100
14653,1.3000000000000005,3.500000000000002,179,0.2,365,4,100000,99900,100
26094,1.3000000000000005,4.500000000000004,133,0.6,365,4,100000,99900,100
84982,1.6000000000000003,4.100000000000003,91,0.5,365,4,100000,99900,100
25154,1.3000000000000005,4.400000000000003,162,0.6,365,4,100000,99900,100
51863,1.4000000000000004,4.3000000000000025,139,0.6,365,4,100000,99900,100
78502,1.5000000000000004,4.700000000000003,118,0.2,365,4,100000,99900,100
22543,1.3000000000000005,4.200000000000003,129,0.8,365,4,100000,99900,100
36222,1.4000000000000004,3.100000000000002,99,0.7000000000000001,365,4,100000,99900,100
55673,1.4000000000000004,4.600000000000003,137,0.1,365,4,100000,99900,100
23982,1.3000000000000005,4.3000000000000025,162,0.8,365,4,100000,99900,100
62673,1.5000000000000004,3.400000000000002,126,0.8,365,4,100000,99900,100
48069,1.4000000000000004,4.000000000000003,146,0.6,365,4,100000,99900,100
22413,1.3000000000000005,4.200000000000003,113,0.5,365,4,100000,99900,100
79843,1.5000000000000004,4.800000000000003,117,0.6,365,4,100000,99900,100
40141,1.4000000000000004,3.400000000000002,124,0.8,365,4,100000,99900,100
32902,1.4000000000000004,2.5000000000000013,90,0.8,365,4,100000,99900,100
49193,1.4000000000000004,4.100000000000003,126,0.6,365,4,100000,99900,100
32975,1.4000000000000004,2.6000000000000014,95,0.3,365,4,100000,99900,100
1164,1.3000000000000005,2.400000000000001,142,0.4,365,4,100000,99900,100
12197,1.3000000000000005,3.300000000000002,171,0.3,365,4,100000,99900,100
4400,1.3000000000000005,2.700000000000001,102,0.7000000000000001,365,4,100000,99900,100
92796,1.6000000000000003,4.800000000000003,104,0.6,365,4,100000,99900,100
57003,1.4000000000000004,4.700000000000003,144,0.1,365,4,100000,99900,100
51573,1.4000000000000004,4.3000000000000025,103,0.4,365,4,100000,99900,100
74374,1.5000000000000004,4.400000000000003,107,0.1,365,4,100000,99900,100
